,time,open,high,low,close,bid,ask,action,P/L,Total profit
0,2022-01-03 01:15:00,0.72725,0.72751,0.72725,0.72749,0.72725,0.7273,,,
1,2022-01-03 01:30:00,0.72747,0.72747,0.72718,0.7272,0.72747,0.72748,,,
2,2022-01-03 01:45:00,0.7272,0.72721,0.72673,0.72675,0.7272,0.72722,,,
3,2022-01-03 02:00:00,0.72675,0.72688,0.72662,0.72667,0.72675,0.72678,,,
4,2022-01-03 02:15:00,0.72667,0.72738,0.72661,0.72719,0.72667,0.72668,,,
5,2022-01-03 02:30:00,0.72717,0.72718,0.7267,0.72687,0.72717,0.72717,,,
6,2022-01-03 02:45:00,0.72687,0.72687,0.72652,0.72654,0.72687,0.72687,,,
7,2022-01-03 03:00:00,0.72653,0.72722,0.7265,0.72712,0.72653,0.72653,,,
8,2022-01-03 03:15:00,0.72712,0.7277,0.72712,0.72733,0.72712,0.72713,,,
9,2022-01-03 03:30:00,0.72732,0.72732,0.72572,0.72602,0.72732,0.72732,,,
10,2022-01-03 03:45:00,0.72602,0.72602,0.72536,0.72558,0.72602,0.72602,,,
11,2022-01-03 04:00:00,0.72557,0.72558,0.72457,0.72502,0.72557,0.72559,,,
12,2022-01-03 04:15:00,0.725,0.72529,0.72498,0.72527,0.725,0.725,,,
13,2022-01-03 04:30:00,0.72526,0.72548,0.72489,0.72548,0.72526,0.72526,,,
14,2022-01-03 04:45:00,0.72548,0.72565,0.72512,0.72523,0.72548,0.72548,,,
15,2022-01-03 05:00:00,0.72523,0.72548,0.72512,0.72517,0.72523,0.72523,,,
16,2022-01-03 05:15:00,0.72517,0.72517,0.72446,0.72457,0.72517,0.72517,,,
17,2022-01-03 05:30:00,0.72457,0.72462,0.72395,0.72461,0.72457,0.72457,,,
18,2022-01-03 05:45:00,0.72461,0.72516,0.72459,0.72486,0.72461,0.72461,,,
19,2022-01-03 06:00:00,0.72485,0.72517,0.72464,0.72503,0.72485,0.72485,,,
20,2022-01-03 06:15:00,0.72503,0.72537,0.72503,0.72534,0.72503,0.72506,,,
21,2022-01-03 06:30:00,0.72534,0.72534,0.72512,0.72512,0.72534,0.72535,,,
22,2022-01-03 06:45:00,0.72512,0.72513,0.72469,0.72493,0.72512,0.72512,,,
23,2022-01-03 07:00:00,0.72493,0.72501,0.72472,0.72479,0.72493,0.72495,,,
24,2022-01-03 07:15:00,0.72479,0.72493,0.72462,0.72468,0.72479,0.72482,,,
25,2022-01-03 07:30:00,0.72467,0.72509,0.72464,0.72509,0.72467,0.72471,,,
26,2022-01-03 07:45:00,0.72508,0.72509,0.72455,0.72456,0.72508,0.7251,,,
27,2022-01-03 08:00:00,0.72456,0.72495,0.72451,0.72465,0.72456,0.72457,,,
28,2022-01-03 08:15:00,0.72466,0.7248,0.72455,0.72464,0.72466,0.72466,,,
29,2022-01-03 08:30:00,0.72464,0.72509,0.72464,0.725,0.72464,0.72464,hold,0,0
30,2022-01-03 08:45:00,0.725,0.72537,0.72497,0.7253,0.725,0.725,hold,0,0
31,2022-01-03 09:00:00,0.7253,0.72538,0.72502,0.72538,0.7253,0.7253,hold,0,0
32,2022-01-03 09:15:00,0.72538,0.72538,0.72508,0.72509,0.72538,0.72538,hold,0,0
33,2022-01-03 09:30:00,0.72509,0.72528,0.72508,0.72528,0.72509,0.72509,hold,0,0
