time,open,high,low,close,bid,ask,signal,action,position,P/L,Total profit
2021-12-31 00:15:00+00:00,1.27385,1.27393,1.27364,1.27364,1.27385,1.27422,0.0,hold,0.0,0.0,0.0
2021-12-31 00:30:00+00:00,1.27365,1.27407,1.27365,1.27389,1.27365,1.27397,0.0,hold,0.0,0.0,0.0
2021-12-31 00:45:00+00:00,1.2739,1.27401,1.27386,1.27397,1.2739,1.27422,0.0,hold,0.0,0.0,0.0
2021-12-31 01:00:00+00:00,1.27397,1.27402,1.27376,1.27379,1.27397,1.27408,1.0,buy,1.0,0.0,0.0
2021-12-31 01:15:00+00:00,1.27376,1.27402,1.27357,1.27402,1.27376,1.27382,0.0,hold,1.0,-0.000320000000000098,0.0
2021-12-31 01:30:00+00:00,1.27401,1.27437,1.27401,1.27424,1.27401,1.27411,0.0,hold,1.0,-7.00000000000145e-05,0.0
2021-12-31 01:45:00+00:00,1.27426,1.27459,1.27426,1.27455,1.27426,1.27436,0.0,hold,1.0,0.00017999999999984695,0.0
2021-12-31 02:00:00+00:00,1.27458,1.27462,1.2744,1.27451,1.27458,1.27463,0.0,hold,1.0,0.0004999999999999449,0.0
2021-12-31 02:15:00+00:00,1.27454,1.27482,1.27451,1.2746,1.27454,1.27454,0.0,hold,1.0,0.00045999999999990493,0.0
2021-12-31 02:30:00+00:00,1.2746,1.2749,1.27449,1.27459,1.2746,1.27467,0.0,hold,1.0,0.0005199999999998539,0.0
2021-12-31 02:45:00+00:00,1.27464,1.27464,1.27395,1.27412,1.27464,1.27469,0.0,hold,1.0,0.0005599999999998939,0.0
2021-12-31 03:00:00+00:00,1.2741,1.27439,1.27383,1.27439,1.2741,1.27419,-1.0,close long,0.0,-0.00018000000000009103,-0.00018000000000009103
2021-12-31 03:15:00+00:00,1.27439,1.27439,1.27382,1.27412,1.27439,1.27444,0.0,hold,0.0,0.0,-0.00018000000000009103
2021-12-31 03:30:00+00:00,1.27412,1.2745,1.27408,1.27424,1.27412,1.27413,0.0,hold,0.0,0.0,-0.00018000000000009103
2021-12-31 03:45:00+00:00,1.27424,1.27458,1.27424,1.27449,1.27424,1.27429,0.0,hold,0.0,0.0,-0.00018000000000009103
2021-12-31 04:00:00+00:00,1.27448,1.27478,1.27448,1.27474,1.27448,1.27454,1.0,buy,1.0,0.0,-0.00018000000000009103
2021-12-31 04:15:00+00:00,1.27475,1.27481,1.27463,1.2747,1.27475,1.27479,0.0,hold,1.0,0.00021000000000004349,-0.00018000000000009103
2021-12-31 04:30:00+00:00,1.27471,1.27508,1.2747,1.27472,1.27471,1.27478,0.0,hold,1.0,0.00017000000000000348,-0.00018000000000009103
2021-12-31 04:45:00+00:00,1.2747,1.27488,1.27443,1.27443,1.2747,1.27474,0.0,hold,1.0,0.00015999999999993797,-0.00018000000000009103
2021-12-31 05:00:00+00:00,1.27443,1.27492,1.27439,1.27487,1.27443,1.27451,0.0,hold,1.0,-0.0001100000000000545,-0.00018000000000009103
2021-12-31 05:15:00+00:00,1.27475,1.27488,1.27464,1.27465,1.27475,1.27478,0.0,hold,1.0,0.00021000000000004349,-0.00018000000000009103
2021-12-31 05:30:00+00:00,1.27463,1.27473,1.27458,1.27462,1.27463,1.27469,0.0,hold,1.0,8.999999999992347e-05,-0.00018000000000009103
2021-12-31 05:45:00+00:00,1.27462,1.27462,1.27443,1.27444,1.27462,1.27468,0.0,hold,1.0,8.000000000008001e-05,-0.00018000000000009103
2021-12-31 06:00:00+00:00,1.27442,1.27456,1.27436,1.27447,1.27442,1.27452,0.0,hold,1.0,-0.00011999999999989797,-0.00018000000000009103
2021-12-31 06:15:00+00:00,1.27446,1.27448,1.27406,1.27412,1.27446,1.27455,-1.0,close long,0.0,-0.00028000000000008,-0.000460000000000171
2021-12-31 06:30:00+00:00,1.27412,1.27414,1.27399,1.27403,1.27412,1.27418,0.0,hold,0.0,0.0,-0.000460000000000171
2021-12-31 06:45:00+00:00,1.27403,1.27412,1.274,1.27405,1.27403,1.2741,0.0,hold,0.0,0.0,-0.000460000000000171
2021-12-31 07:00:00+00:00,1.27405,1.27413,1.27331,1.27331,1.27405,1.27411,0.0,hold,0.0,0.0,-0.000460000000000171
